,conf,doi,fig_num,width,height,colors,visual_density
36,models-models2024,10_1145-3640310_3674085,3,1048,590,"[('FFFFFF', 0.5037795963255273), ('FFF8E5', 0.10974899728296028), ('ECF4E9', 0.10579958597489973), ('EFEFEF', 0.07508086427739681), ('CFE2F3', 0.04282895588045025), ('000000', 0.004968301203260448), ('F0F0F0', 0.0026846940095743305), ('F1F1F1', 0.002380644326562298), ('FFF9E6', 0.0014652607064303273), ('EEEEEE', 0.0014296804243757277)]",0.4806249191357232
37,models-models2024,10_1145-3640310_3674097,6,434,366,"[('FFFFFF', 0.7646181158872857), ('99C278', 0.03495882752889628), ('80A6F5', 0.02799602125355695), ('E6BF7A', 0.02129132985822568), ('A8D6FF', 0.01301276724333308), ('535960', 0.011929943844274886), ('DBB3E8', 0.011564805721336658), ('1A212B', 0.007636423157311576), ('3A4049', 0.004085769685981214), ('4D493F', 0.0025685578303240916)]",0.227166276346604
38,models-models2024,10_1145-3640310_3674096,3,1040,515,"[('FFFFFF', 0.37992531740104557), ('DCE7F4', 0.08231702763256162), ('E6D6F2', 0.06038834951456311), ('E6E6E6', 0.056109036594473485), ('F7D8D5', 0.05161314413741598), ('FFF9C5', 0.0451437640029873), ('E7E6E6', 0.032923823749066466), ('002060', 0.0244865571321882), ('DCEDD7', 0.023758401792382373), ('F6E5FF', 0.004480955937266617)]",0.6047684839432442
39,models-models2024,10_1145-3640310_3674101,8,491,104,"[('FFFFFF', 0.532116559611468), ('3B9AB2', 0.249569168102773), ('78B7C5', 0.13559454801817328), ('EBCC2A', 0.011926210245965846), ('E1AF00', 0.011867460441798528), ('FBFBFB', 0.011025379915400282), ('EBEBEB', 0.006854143819520602), ('F2F2F2', 0.004895817013943287), ('F21A00', 0.003054989816700611), ('FCFCFC', 0.002095409681967727)]",0.4454410151966159
40,models-models2024,10_1145-3640310_3674086,1,374,131,"[('FFFFFF', 0.9260317589908968), ('404040', 0.026860431889619136), ('2C2C2C', 0.011674898967220475), ('000000', 0.005490468220598441), ('FDFDFD', 0.0004898559007225374), ('363636', 0.00040821325060211457), ('A0A0A0', 0.0003878025880720088), ('DFDFDF', 0.0003878025880720088), ('EAEAEA', 0.00034698126301179735), ('FAFAFA', 0.00034698126301179735)]",0.0707229456668165
41,models-models2024,10_1145-3640310_3674099,3,498,283,"[('FFFFFF', 0.023585508110179232), ('ECE7C9', 0.0012559070203073779), ('ECE7CA', 0.0005321639916556686), ('EDE8CB', 0.00046830431265698836), ('C1AD7A', 0.0003973491137695659), ('C2AE79', 0.00039025359388082366), ('C3AF7C', 0.00037606255410333915), ('C2AE7B', 0.00037606255410333915), ('C2AF7A', 0.00036187151432585463), ('C5B17C', 0.00036187151432585463)]",0.9764144918898208
42,models-models2024,10_1145-3640310_3674081,4,531,613,"[('FFFFFF', 0.8315745169783382), ('E2E2F0', 0.07426352445292363), ('C2EFFF', 0.02115187878452733), ('000000', 0.005843264117381407), ('7F7F85', 0.00452223174594397), ('181818', 0.0035176327099903843), ('7D7D84', 0.002039919754963856), ('D1D1D1', 0.001953899042405139), ('8C8C8C', 0.001483857291637865), ('030303', 0.0014131974206074906)]",0.164019993671334
43,models-models2024,10_1145-3640310_3674103,3,502,310,"[('FFFFFF', 0.7130188921732425), ('EEEEEE', 0.09206400205629096), ('FFFFCB', 0.040881634751317314), ('FFDDDD', 0.015904125433748875), ('808080', 0.014207685387482329), ('000000', 0.013353039455082894), ('DFDFDF', 0.013173113995630382), ('E0E0E0', 0.011797969412671893), ('EFEFEF', 0.008302274771880221), ('EBEBEB', 0.006201002441845521)]",0.2803816990104104
44,models-models2024,10_1145-3640310_3674090,5,794,344,"[('FFFFFF', 0.4832647472321481), ('C0FFFF', 0.09357609396051783), ('C0FFC0', 0.07787695507000175), ('FFFFC0', 0.07218748169410111), ('FFFFC1', 0.007468806748286568), ('FFFFC2', 0.006612090680100755), ('C1FFFF', 0.006399742252943589), ('C2FFFF', 0.005081717532657724), ('C3FFFF', 0.004781500790814832), ('FFFFC3', 0.0044117216331790755)]",0.5013509753382933
45,models-models2024,10_1145-3640310_3674093,8,354,665,"[('FFFFFF', 0.8753493904252155), ('000000', 0.03182107811902638), ('DFDFDF', 0.021549636803874093), ('D6D6D6', 0.009506817892188097), ('919191', 0.00206873114990867), ('C3C3C3', 0.0012488849241748439), ('686868', 0.001117199779108789), ('707070', 0.0010110020814748737), ('808080', 0.0009600271866105943), ('EFEFEF', 0.0008793169364088186)]",0.1198504736417315
46,models-models2024,10_1145-3640310_3674081,5,532,648,"[('FFFFFF', 0.7222019168291098), ('FEFEFE', 0.03422619047619048), ('FDFDFD', 0.024375174046226678), ('FCFCFC', 0.014219576719576719), ('FBFBFB', 0.00681100900399146), ('FEFFFF', 0.006254061078622482), ('FAFAFA', 0.00557818156502367), ('F8F8F8', 0.005552074631021999), ('FFFEFB', 0.004557110368513877), ('FFFEFF', 0.003968253968253968)]",0.1125847024969933
47,models-models2024,10_1145-3640310_3674102,5,472,246,"[('FFFFFF', 0.8655436130632492), ('2C2C2C', 0.004151164392999862), ('404040', 0.004039203527628496), ('FEFEFE', 0.0026095494005787517), ('FEFFFF', 0.0020497450737219235), ('FEFEFF', 0.0012401818933443572), ('FFFFFE', 0.0012057323963070138), ('FFFFFD', 0.0004392310872261265), ('FDFFFF', 0.00037033209315144), ('F2F2F2', 0.0003617197188921042)]",0.110023081163026
48,models-models2024,10_1145-3640310_3674083,6,503,155,"[('FFFFFF', 0.8554351311485923), ('000000', 0.013711280702879497), ('606060', 0.0027448213942153532), ('BFBFBF', 0.002244596934521901), ('A0A0A0', 0.0018213300840120568), ('DFDFDF', 0.0016417623292503047), ('FEFEFE', 0.0016289360610530366), ('FDFDFD', 0.0012698005515295325), ('404040', 0.0012184954787404605), ('FCFCFC', 0.0012184954787404605)]",0.1310075033668953
